slug	version	active_installs	api_url	download_url	archive_sha256
add-to-any	1.8.18	300000	https://api.wordpress.org/plugins/info/1.2/?action=plugin_information&request[slug]=add-to-any	https://downloads.wordpress.org/plugin/add-to-any.zip	dda67f63ba890320ef2c1e07024ca44588307eed33bbb384f5e429327b994ef3
sassy-social-share	3.3.79	100000	https://api.wordpress.org/plugins/info/1.2/?action=plugin_information&request[slug]=sassy-social-share	https://downloads.wordpress.org/plugin/sassy-social-share.zip	45a17051cfc73b61752ae592accf6f0138bd91110a9c4e5bcafdef3f30321269
simple-share-buttons-adder	8.7.0	40000	https://api.wordpress.org/plugins/info/1.2/?action=plugin_information&request[slug]=simple-share-buttons-adder	https://downloads.wordpress.org/plugin/simple-share-buttons-adder.zip	e6e917865c53a7d11518bfcd8b43321a33b3cc1ce5ecf7e29500bc263461f9f0
social-pug	1.36.3.1	30000	https://api.wordpress.org/plugins/info/1.2/?action=plugin_information&request[slug]=social-pug	https://downloads.wordpress.org/plugin/social-pug.zip	7fe673b3e875481071c05afce97adca12d6b43dd44828f2477f40dd2772a42f8
kiwi-social-share	2.1.9.1	4000	https://api.wordpress.org/plugins/info/1.2/?action=plugin_information&request[slug]=kiwi-social-share	https://downloads.wordpress.org/plugin/kiwi-social-share.zip	7032701e49d4ab92a2f3b642ba563b29fd618d17861ade0fc1078e4ae08aa60a
social-sharing-block	1.4.0	7000	https://api.wordpress.org/plugins/info/1.2/?action=plugin_information&request[slug]=social-sharing-block	https://downloads.wordpress.org/plugin/social-sharing-block.zip	650177940a35f2207fdd85634653b89a3cffb3f0c04064af4faa1850dc651aa8
scriptless-social-sharing	3.3.1	10000	https://api.wordpress.org/plugins/info/1.2/?action=plugin_information&request[slug]=scriptless-social-sharing	https://downloads.wordpress.org/plugin/scriptless-social-sharing.zip	73954d51a77be0a030ac53ba034fd0c9c11f591663b649b9f840a495aca4677e
super-web-share	2.5.2	2000	https://api.wordpress.org/plugins/info/1.2/?action=plugin_information&request[slug]=super-web-share	https://downloads.wordpress.org/plugin/super-web-share.zip	68b8356c26127f730a558470d11a69bb0b6ebe5c50b1ae23c07dd0bed8534bf5
sharethis-share-buttons	2.3.12	10000	https://api.wordpress.org/plugins/info/1.2/?action=plugin_information&request[slug]=sharethis-share-buttons	https://downloads.wordpress.org/plugin/sharethis-share-buttons.zip	adb54dc4448e6a0f08a912ed89fbbe4bd483fe7509fcb8c4f36a212e18a33cef
simple-social-buttons	7.1.0	20000	https://api.wordpress.org/plugins/info/1.2/?action=plugin_information&request[slug]=simple-social-buttons	https://downloads.wordpress.org/plugin/simple-social-buttons.zip	5a94c49fb94b967433895c12b991529bcbec2defa86683ffb73b45761a2968c3
